"","Observed","Shannon","Simpson"
"SRR15862371",15,0.121053936095368,0.962391614936812
"SRR15862373",33,1.13234428339193,0.490842117573273
"SRR15862375",50,2.14612439536855,0.306314739229025
"SRR15862377",48,2.63471190461876,0.159189247886665
"SRR15862379",9,0.389792464856385,0.860398530223807
"SRR15862381",17,0.236189250671932,0.932827597475705
"SRR15862383",12,2.08725706582875,0.164540816326531
"SRR15862385",9,0.171758923166419,0.936507298234237
"SRR15862387",59,0.728011068462518,0.741545604741929
"SRR15862389",78,3.32026718125514,0.0761799434129393
"SRR15862391",6,0.509117952804465,0.785583103764922
"SRR15862393",31,1.8009158103779,0.256601993592026
"SRR15862395",8,1.36554874573429,0.35232
"SRR15862397",34,2.22080270948309,0.174473810775861
"SRR15862399",36,0.465984597371959,0.844555839012014
"SRR15862401",57,1.14325045660695,0.400365577439334
"SRR15862403",11,1.94407832504574,0.176669744536781
"SRR15862405",121,1.92568343832943,0.398419963956508
"SRR15862407",42,2.12196780135276,0.21601708314995
"SRR15862409",22,2.01176457188771,0.209107399762307
"SRR15862411",55,2.54707432138721,0.127949152574708
"SRR15862413",54,2.46722276038041,0.236942780747285
"SRR15862415",32,0.380243542332857,0.873632462790967
"SRR15862417",17,0.578022899458864,0.805509719534885
"SRR15862419",40,2.08565600165897,0.283813760586851
"SRR15862421",23,2.02434539969614,0.21388657648283
"SRR15862423",52,2.81263206417523,0.0903280641342646
"SRR15862425",34,2.10124513680428,0.187734376158223
"SRR15862427",38,1.4838227296686,0.532129409433215
"SRR15862429",46,2.94359774755474,0.092963720280574
"SRR15862431",65,0.681643467186766,0.744698959819365
"SRR15862433",24,0.844339252077505,0.678942496367025
"SRR15862435",19,0.230860802903249,0.903690111708477
"SRR15862437",101,3.45330361087903,0.0626343490304709
"SRR15862439",51,1.88600702657186,0.276673136158283
"SRR15862441",49,3.55934184938744,0.037445068359375
"SRR15862442",57,3.04855511559804,0.0731006310937484
"SRR15862444",62,1.80159940102507,0.357010955027744
"SRR15862446",52,1.6078843068413,0.498499845252969
"SRR15862448",36,2.48082965800497,0.125773278061225
"SRR15862450",178,3.50537525739547,0.0603298358868913
"SRR15862452",39,1.37644654614667,0.393763386058263
"SRR15862454",99,2.42999547426514,0.248710670965287
"SRR15862456",21,2.1952496341829,0.233612655650403
"SRR15862458",191,3.37079652391384,0.0782413500694726
"SRR15862460",92,2.7839295875209,0.107199784739496
"SRR15862462",5,0.659148434569873,0.664378698224852
"SRR15862464",97,1.59387205965438,0.384418178210273
"SRR15862466",79,1.13951488214602,0.423285010955447
"SRR15862468",33,1.56696366665243,0.296533863901929
"SRR15862470",4,0.899610610782598,0.499992799636947
"SRR15862472",23,1.85939744907931,0.193776112430073
"SRR15862474",20,0.989783778294524,0.590089261903934
"SRR15862476",4,0.207027137851797,0.907315089602416
"SRR15862478",43,0.626928701941433,0.702330458378839
"SRR15862480",31,1.00921481909594,0.520518303069199
"SRR15862482",27,1.20130894147866,0.402427094655694
"SRR15862484",8,0.812894928883963,0.661184
"SRR15862486",8,0.0887951117596037,0.975195335577223
"SRR15862488",34,0.878116233695011,0.505776690831805
"SRR15862490",86,0.820773087721352,0.699298780627384
"SRR15862492",69,2.52576368070295,0.114743914640058
"SRR15862494",69,2.5853001181127,0.108216003695684
"SRR15862496",18,1.34692284146943,0.43240119378267
"SRR15862498",38,0.086351910679916,0.9792378591431
"SRR15862500",20,0.326384190177222,0.89678393495881
"SRR15862502",14,0.881823200337677,0.608180009612779
"SRR15862504",17,1.09274093221396,0.431530071151277
"SRR15862506",25,2.46230906941896,0.129782045419905
"SRR15862508",17,1.82161313645442,0.309909119897959
"SRR15862510",9,0.255425944010553,0.906057148488856
"SRR15862512",53,0.598160466255618,0.7872081835775
