"","Hill_q0","Hill_q1","Hill_q2"
"SRR15862371",15,1.12868578762992,1.03907804731409
"SRR15862373",33,3.10292210924101,2.03731498214539
"SRR15862375",50,8.55165127062531,3.26461600416923
"SRR15862377",48,13.9392960378276,6.28183130001312
"SRR15862379",9,1.47667430026667,1.16225210163932
"SRR15862381",17,1.26641395718183,1.07200945030579
"SRR15862383",12,8.06276916062935,6.07751937984496
"SRR15862385",9,1.18739154611254,1.06779733792302
"SRR15862387",59,2.07095751604338,1.34853472747373
"SRR15862389",78,27.6677418730631,13.1268146863725
"SRR15862391",6,1.66382297713153,1.2729398012858
"SRR15862393",31,6.05519033206393,3.89708585658891
"SRR15862395",8,3.91787237797695,2.83832879200727
"SRR15862397",34,9.21472464481345,5.73151922086837
"SRR15862399",36,1.59358245380166,1.1840543322391
"SRR15862401",57,3.13694832587441,2.49771722732963
"SRR15862403",11,6.98718896929217,5.6602787456446
"SRR15862405",121,6.85983533859486,2.50991438799779
"SRR15862407",42,8.34754765198239,4.62926350739511
"SRR15862409",22,7.47649853345439,4.78223152856715
"SRR15862411",55,12.7696890714324,7.81560471388127
"SRR15862413",54,11.789658635291,4.22042822679018
"SRR15862415",32,1.4626407610041,1.14464610988164
"SRR15862417",17,1.78251074164929,1.24144994870753
"SRR15862419",40,8.04987047838137,3.52343733415979
"SRR15862421",23,7.57115324294392,4.67537522197086
"SRR15862423",52,16.6536941747741,11.0707564651622
"SRR15862425",34,8.17634424417866,5.32667495673354
"SRR15862427",38,4.40977086327842,1.87924212094409
"SRR15862429",46,18.9840233203639,10.7568844811922
"SRR15862431",65,1.97712440268147,1.34282448876062
"SRR15862433",24,2.32644011613711,1.47287878627562
"SRR15862435",19,1.25968388290563,1.10657402027941
"SRR15862437",101,31.6046294321178,15.965680421034
"SRR15862439",51,6.59299041669048,3.61437331388728
"SRR15862441",49,35.1400620793798,26.7057864710676
"SRR15862442",57,21.0848572212873,13.6797724593861
"SRR15862444",62,6.05933101864788,2.80103449464818
"SRR15862446",52,4.99223800313811,2.00601867688151
"SRR15862448",36,11.9511756943793,7.95081447676998
"SRR15862450",178,33.2939353039495,16.5755464986651
"SRR15862452",39,3.9608020639005,2.53959620271051
"SRR15862454",99,11.3588306728292,4.02073620773421
"SRR15862456",21,8.98224305187326,4.28059001005699
"SRR15862458",191,29.1016980268682,12.7809655522569
"SRR15862460",92,16.1824866669747,9.32837694058879
"SRR15862462",5,1.93314543345706,1.50516565728536
"SRR15862464",97,4.9227733447757,2.60133379918628
"SRR15862466",79,3.12525188189323,2.36247439459947
"SRR15862468",33,4.79207574218044,3.37229612443429
"SRR15862470",4,2.45864555466956,2.00002880186698
"SRR15862472",23,6.41986730881447,5.16059480943952
"SRR15862474",20,2.69065263194734,1.69465886698816
"SRR15862476",4,1.23001595131842,1.10215294715114
"SRR15862478",43,1.87185272410828,1.42383117244873
"SRR15862480",31,2.74344606765223,1.92116203042923
"SRR15862482",27,3.32446560695641,2.48492214684395
"SRR15862484",8,2.25442494895542,1.51243829251767
"SRR15862486",8,1.0928567198958,1.02543558558768
"SRR15862488",34,2.4063624097306,1.9771571488504
"SRR15862490",86,2.27225581175173,1.43000392350583
"SRR15862492",69,12.5004379626059,8.71505912219324
"SRR15862494",69,13.2672702406358,9.24077738826985
"SRR15862496",18,3.84557386489828,2.31266706562936
"SRR15862498",38,1.09018991028044,1.02120234697121
"SRR15862500",20,1.38594773410708,1.11509580069131
"SRR15862502",14,2.41529926899935,1.64425003156004
"SRR15862504",17,2.98243753882472,2.31733560845969
"SRR15862506",25,11.73186999026,7.70522607163829
"SRR15862508",17,6.18182253429378,3.22675241157556
"SRR15862510",9,1.2910114023509,1.10368314147493
"SRR15862512",53,1.8187700324011,1.27031199733653
