file                                   format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
data/raw/fastq/SRR15862371_1.fastq.gz  FASTQ   DNA     25,931   3,734,807       32      144      151  151  151  151        0  151   94.51    90.3
data/raw/fastq/SRR15862371_2.fastq.gz  FASTQ   DNA     25,931   3,738,306       32    144.2      151  151  151  151        0  151   90.57    82.3
data/raw/fastq/SRR15862373_1.fastq.gz  FASTQ   DNA      3,893     537,284       32      138      151  151  151  151        0  151    92.2   87.41
data/raw/fastq/SRR15862373_2.fastq.gz  FASTQ   DNA      3,893     535,995       32    137.7      151  150  150  150        0  150   90.86   83.95
data/raw/fastq/SRR15862375_1.fastq.gz  FASTQ   DNA     12,982   1,901,659       32    146.5      151  150  151  151        0  151   91.66   87.83
data/raw/fastq/SRR15862375_2.fastq.gz  FASTQ   DNA     12,982   1,885,457       32    145.2      151  147  150  150        0  150   90.51   83.01
data/raw/fastq/SRR15862377_1.fastq.gz  FASTQ   DNA      3,604     506,478       32    140.5      151  150  151  151        0  151   91.35   87.28
data/raw/fastq/SRR15862377_2.fastq.gz  FASTQ   DNA      3,604     505,357       32    140.2      151  150  150  151        0  150   90.08   82.31
data/raw/fastq/SRR15862379_1.fastq.gz  FASTQ   DNA     14,205   1,925,632       32    135.6      151  151  151  151        0  151   90.48    85.6
data/raw/fastq/SRR15862379_2.fastq.gz  FASTQ   DNA     14,205   1,901,787       32    133.9      151  147  147  150        0  147   89.08   82.02
data/raw/fastq/SRR15862381_1.fastq.gz  FASTQ   DNA      5,916     719,826       32    121.7      151   90  151  151        0  151   85.38   80.12
data/raw/fastq/SRR15862381_2.fastq.gz  FASTQ   DNA      5,916     720,647       32    121.8      151   91  150  151        0  150   84.69   77.01
data/raw/fastq/SRR15862383_1.fastq.gz  FASTQ   DNA      5,683     817,331       32    143.8      151  151  151  151        0  151   95.18   91.04
data/raw/fastq/SRR15862383_2.fastq.gz  FASTQ   DNA      5,683     800,235       32    140.8      151  147  147  147        0  147   94.28   88.75
data/raw/fastq/SRR15862385_1.fastq.gz  FASTQ   DNA      3,683     514,484       32    139.7      151  151  151  151        0  151   94.52    90.3
data/raw/fastq/SRR15862385_2.fastq.gz  FASTQ   DNA      3,683     512,589       32    139.2      151  150  150  150        0  150   93.41   87.38
data/raw/fastq/SRR15862387_1.fastq.gz  FASTQ   DNA     56,226   8,336,973       32    148.3      151  151  151  151        0  151    95.5   91.31
data/raw/fastq/SRR15862387_2.fastq.gz  FASTQ   DNA     56,226   8,212,639       32    146.1      151  147  150  150        0  150   94.57   88.85
data/raw/fastq/SRR15862389_1.fastq.gz  FASTQ   DNA     27,563   3,903,169       32    141.6      151  150  150  151        0  150   89.63   85.37
data/raw/fastq/SRR15862389_2.fastq.gz  FASTQ   DNA     27,563   3,890,231       32    141.1      151  150  150  151        0  150   88.32   80.28
data/raw/fastq/SRR15862391_1.fastq.gz  FASTQ   DNA      5,399     619,920       32    114.8      151   32  151  151        0  151   87.69   82.57
data/raw/fastq/SRR15862391_2.fastq.gz  FASTQ   DNA      5,399     619,395       32    114.7      151   32  150  151        0  151   85.13   80.43
data/raw/fastq/SRR15862393_1.fastq.gz  FASTQ   DNA      3,690     523,024       32    141.7      151  150  151  151        0  151   93.28   89.45
data/raw/fastq/SRR15862393_2.fastq.gz  FASTQ   DNA      3,690     521,637       32    141.4      151  150  150  150        0  150   91.36   82.64
data/raw/fastq/SRR15862395_1.fastq.gz  FASTQ   DNA      7,238   1,027,669       32      142      151  151  151  151        0  151   89.15   83.59
data/raw/fastq/SRR15862395_2.fastq.gz  FASTQ   DNA      7,238   1,023,160       32    141.4      151  150  151  151        0  151   86.43   81.49
data/raw/fastq/SRR15862397_1.fastq.gz  FASTQ   DNA     22,196   3,138,075       32    141.4      151  150  150  151        0  150   89.38   85.15
data/raw/fastq/SRR15862397_2.fastq.gz  FASTQ   DNA     22,196   3,129,862       32      141      151  150  150  151        0  150   88.27      80
data/raw/fastq/SRR15862399_1.fastq.gz  FASTQ   DNA     11,761   1,741,330       32    148.1      151  151  151  151        0  151   95.95   94.31
data/raw/fastq/SRR15862399_2.fastq.gz  FASTQ   DNA     11,761   1,739,968       32    147.9      151  151  151  151        0  151   95.79   92.95
data/raw/fastq/SRR15862401_1.fastq.gz  FASTQ   DNA     74,309  11,215,034       32    150.9      151  151  151  151        0  151   94.96    90.6
data/raw/fastq/SRR15862401_2.fastq.gz  FASTQ   DNA     74,309  11,153,292       32    150.1      151  150  150  150        0  150   93.11   85.23
data/raw/fastq/SRR15862403_1.fastq.gz  FASTQ   DNA      4,429     581,234       32    131.2      151  150  151  151        0  151   85.66    79.9
data/raw/fastq/SRR15862403_2.fastq.gz  FASTQ   DNA      4,429     580,537       32    131.1      151  149  151  151        0  151   82.46   76.84
data/raw/fastq/SRR15862405_1.fastq.gz  FASTQ   DNA     16,514   2,490,328       32    150.8      151  151  151  151        0  151   91.35   84.07
data/raw/fastq/SRR15862405_2.fastq.gz  FASTQ   DNA     16,514   2,476,634       32      150      151  150  150  150        0  150    92.9   88.59
data/raw/fastq/SRR15862407_1.fastq.gz  FASTQ   DNA      6,956   1,020,429       32    146.7      151  150  151  151        0  151   86.51   79.33
data/raw/fastq/SRR15862407_2.fastq.gz  FASTQ   DNA      6,956   1,018,212       32    146.4      151  150  150  151        0  150   86.41   80.45
data/raw/fastq/SRR15862409_1.fastq.gz  FASTQ   DNA     64,574   9,684,497       32      150      151  151  151  151        0  151   95.28   91.04
data/raw/fastq/SRR15862409_2.fastq.gz  FASTQ   DNA     64,574   9,458,796       32    146.5      151  147  147  147        0  147   94.84   89.41
data/raw/fastq/SRR15862411_1.fastq.gz  FASTQ   DNA     13,276   1,951,953       32      147      151  150  150  151        0  150   87.12   79.84
data/raw/fastq/SRR15862411_2.fastq.gz  FASTQ   DNA     13,276   1,947,923       32    146.7      151  150  150  151        0  150   87.23   81.42
data/raw/fastq/SRR15862413_1.fastq.gz  FASTQ   DNA     30,110   4,414,561       32    146.6      151  150  150  151        0  150    87.4   80.23
data/raw/fastq/SRR15862413_2.fastq.gz  FASTQ   DNA     30,110   4,395,862       32      146      151  150  150  150        0  150   87.05   81.24
data/raw/fastq/SRR15862415_1.fastq.gz  FASTQ   DNA     10,122   1,527,442       32    150.9      151  151  151  151        0  151   92.95   86.79
data/raw/fastq/SRR15862415_2.fastq.gz  FASTQ   DNA     10,122   1,517,977       32      150      151  150  150  150        0  150   94.34   90.83
data/raw/fastq/SRR15862417_1.fastq.gz  FASTQ   DNA      7,960   1,185,178       32    148.9      151  151  151  151        0  151   96.65   93.54
data/raw/fastq/SRR15862417_2.fastq.gz  FASTQ   DNA      7,960   1,169,179       32    146.9      151  147  147  151        0  147      96   89.33
data/raw/fastq/SRR15862419_1.fastq.gz  FASTQ   DNA      2,279     341,463       32    149.8      151  151  151  151        0  151   90.44   83.07
data/raw/fastq/SRR15862419_2.fastq.gz  FASTQ   DNA      2,279     340,674       32    149.5      151  150  151  151        0  151   90.54   85.32
data/raw/fastq/SRR15862421_1.fastq.gz  FASTQ   DNA      1,064     160,296       90    150.7      151  151  151  151        0  151   91.91   85.02
data/raw/fastq/SRR15862421_2.fastq.gz  FASTQ   DNA      1,064     159,010       90    149.4      151  147  150  151        0  150   92.66   88.43
data/raw/fastq/SRR15862423_1.fastq.gz  FASTQ   DNA      7,734   1,143,065       32    147.8      151  150  151  151        0  151   89.76    82.6
data/raw/fastq/SRR15862423_2.fastq.gz  FASTQ   DNA      7,734   1,136,381       32    146.9      151  150  150  151        0  150   89.08   83.77
data/raw/fastq/SRR15862425_1.fastq.gz  FASTQ   DNA      4,851     729,641       32    150.4      151  151  151  151        0  151   91.77   85.38
data/raw/fastq/SRR15862425_2.fastq.gz  FASTQ   DNA      4,851     725,258       32    149.5      151  150  150  150        0  150   91.97   87.34
data/raw/fastq/SRR15862427_1.fastq.gz  FASTQ   DNA     25,835   3,760,781       32    145.6      151  150  150  151        0  150   87.01   79.33
data/raw/fastq/SRR15862427_2.fastq.gz  FASTQ   DNA     25,835   3,747,681       32    145.1      151  150  150  150        0  150   84.81   77.91
data/raw/fastq/SRR15862429_1.fastq.gz  FASTQ   DNA      2,698     401,610       32    148.9      151  151  151  151        0  151   91.18   84.64
data/raw/fastq/SRR15862429_2.fastq.gz  FASTQ   DNA      2,698     399,394       32      148      151  150  150  150        0  150   92.19   87.96
data/raw/fastq/SRR15862431_1.fastq.gz  FASTQ   DNA     70,730  10,652,541       32    150.6      151  151  151  151        0  151   95.31   90.83
data/raw/fastq/SRR15862431_2.fastq.gz  FASTQ   DNA     70,730  10,501,306       32    148.5      151  147  150  150        0  150   94.98    89.2
data/raw/fastq/SRR15862433_1.fastq.gz  FASTQ   DNA      2,109     317,631       32    150.6      151  151  151  151        0  151   90.79   84.27
data/raw/fastq/SRR15862433_2.fastq.gz  FASTQ   DNA      2,109     314,286       32      149      151  148  150  150        0  150   88.44   83.06
data/raw/fastq/SRR15862435_1.fastq.gz  FASTQ   DNA     90,924  13,723,822       32    150.9      151  151  151  151        0  151   93.28   87.23
data/raw/fastq/SRR15862435_2.fastq.gz  FASTQ   DNA     90,924  13,702,959       32    150.7      151  151  151  151        0  151   93.61    89.6
data/raw/fastq/SRR15862437_1.fastq.gz  FASTQ   DNA      3,071     419,317       32    136.5      151  151  151  151        0  151   94.58   90.69
data/raw/fastq/SRR15862437_2.fastq.gz  FASTQ   DNA      3,071     418,052       32    136.1      151  150  150  151        0  150   93.89   85.43
data/raw/fastq/SRR15862439_1.fastq.gz  FASTQ   DNA     11,109   1,602,254       32    144.2      151  150  151  151        0  151   89.36   84.41
data/raw/fastq/SRR15862439_2.fastq.gz  FASTQ   DNA     11,109   1,599,885       32      144      151  150  150  151        0  151   88.76   78.08
data/raw/fastq/SRR15862441_1.fastq.gz  FASTQ   DNA      7,050   1,034,436       32    146.7      151  150  151  151        0  151   88.41   81.26
data/raw/fastq/SRR15862441_2.fastq.gz  FASTQ   DNA      7,050   1,025,271       32    145.4      151  147  150  150        0  150   87.51   82.03
data/raw/fastq/SRR15862442_1.fastq.gz  FASTQ   DNA     10,611   1,493,311       32    140.7      151  150  150  151        0  150   92.22   87.66
data/raw/fastq/SRR15862442_2.fastq.gz  FASTQ   DNA     10,611   1,492,869       32    140.7      151  150  150  151        0  150   91.05   81.18
data/raw/fastq/SRR15862444_1.fastq.gz  FASTQ   DNA      6,066     908,115       32    149.7      151  151  151  151        0  151   91.37   84.58
data/raw/fastq/SRR15862444_2.fastq.gz  FASTQ   DNA      6,066     907,171       32    149.6      151  150  151  151        0  151   91.63   86.76
data/raw/fastq/SRR15862446_1.fastq.gz  FASTQ   DNA      4,945     724,628       32    146.5      151  150  151  151        0  151   93.25    88.9
data/raw/fastq/SRR15862446_2.fastq.gz  FASTQ   DNA      4,945     723,382       32    146.3      151  150  150  151        0  150   92.78   83.48
data/raw/fastq/SRR15862448_1.fastq.gz  FASTQ   DNA     11,946   1,776,938       32    148.7      151  150  151  151        0  151   90.95   83.96
data/raw/fastq/SRR15862448_2.fastq.gz  FASTQ   DNA     11,946   1,754,489       32    146.9      151  147  150  150        0  150   90.63   85.89
data/raw/fastq/SRR15862450_1.fastq.gz  FASTQ   DNA     34,426   5,190,291       32    150.8      151  151  151  151        0  151   91.69   84.64
data/raw/fastq/SRR15862450_2.fastq.gz  FASTQ   DNA     34,426   5,161,883       32    149.9      151  150  151  151        0  151   93.28   89.14
data/raw/fastq/SRR15862452_1.fastq.gz  FASTQ   DNA     32,245   4,855,791       32    150.6      151  151  151  151        0  151    94.7   89.99
data/raw/fastq/SRR15862452_2.fastq.gz  FASTQ   DNA     32,245   4,825,029       32    149.6      151  150  150  150        0  150   93.62   86.25
data/raw/fastq/SRR15862454_1.fastq.gz  FASTQ   DNA     13,375   1,902,245       32    142.2      151  150  151  151        0  151   89.26   84.22
data/raw/fastq/SRR15862454_2.fastq.gz  FASTQ   DNA     13,375   1,897,876       32    141.9      151  150  150  151        0  150   87.52   74.35
data/raw/fastq/SRR15862456_1.fastq.gz  FASTQ   DNA      4,069     603,553       32    148.3      151  151  151  151        0  151   89.71   82.21
data/raw/fastq/SRR15862456_2.fastq.gz  FASTQ   DNA      4,069     594,153       32      146      151  147  147  150        0  147   88.02   81.97
data/raw/fastq/SRR15862458_1.fastq.gz  FASTQ   DNA     97,680  14,376,985       32    147.2      151  151  151  151        0  151    95.9   94.23
data/raw/fastq/SRR15862458_2.fastq.gz  FASTQ   DNA     97,680  14,148,525       32    144.8      151  147  147  151        0  147   96.43   94.59
data/raw/fastq/SRR15862460_1.fastq.gz  FASTQ   DNA    156,567  23,559,787       32    150.5      151  151  151  151        0  151   90.49   83.32
data/raw/fastq/SRR15862460_2.fastq.gz  FASTQ   DNA    156,567  23,464,389       32    149.9      151  150  150  151        0  150   92.37   87.78
data/raw/fastq/SRR15862462_1.fastq.gz  FASTQ   DNA     66,421   9,326,543       32    140.4      151  151  151  151        0  151   95.68   94.14
data/raw/fastq/SRR15862462_2.fastq.gz  FASTQ   DNA     66,421   9,102,840       32      137      151  147  147  147        0  147   96.21    94.6
data/raw/fastq/SRR15862464_1.fastq.gz  FASTQ   DNA    132,418  19,980,251       32    150.9      151  151  151  151        0  151   96.23   94.55
data/raw/fastq/SRR15862464_2.fastq.gz  FASTQ   DNA    132,418  19,856,743       32      150      151  150  150  150        0  150   96.86      95
data/raw/fastq/SRR15862466_1.fastq.gz  FASTQ   DNA     80,839  12,140,097       32    150.2      151  151  151  151        0  151    96.2    94.6
data/raw/fastq/SRR15862466_2.fastq.gz  FASTQ   DNA     80,839  12,062,084       32    149.2      151  150  150  150        0  150    94.9   91.05
data/raw/fastq/SRR15862468_1.fastq.gz  FASTQ   DNA    118,884  17,892,116       32    150.5      151  151  151  151        0  151   95.92   94.17
data/raw/fastq/SRR15862468_2.fastq.gz  FASTQ   DNA    118,884  17,596,602       32      148      151  147  147  150        0  147   95.96   93.29
data/raw/fastq/SRR15862470_1.fastq.gz  FASTQ   DNA     65,917   9,768,063       32    148.2      151  151  151  151        0  151   92.73   87.49
data/raw/fastq/SRR15862470_2.fastq.gz  FASTQ   DNA     65,917   9,714,039       32    147.4      151  150  151  151        0  151   90.81   86.75
data/raw/fastq/SRR15862472_1.fastq.gz  FASTQ   DNA     79,788  11,973,160       32    150.1      151  151  151  151        0  151   91.66   86.19
data/raw/fastq/SRR15862472_2.fastq.gz  FASTQ   DNA     79,788  11,924,633       32    149.5      151  150  151  151        0  151   90.42   86.09
data/raw/fastq/SRR15862474_1.fastq.gz  FASTQ   DNA     25,811   3,779,409       32    146.4      151  151  151  151        0  151   93.69   89.33
data/raw/fastq/SRR15862474_2.fastq.gz  FASTQ   DNA     25,811   3,707,391       32    143.6      151  147  147  149        0  147   92.72   86.47
data/raw/fastq/SRR15862476_1.fastq.gz  FASTQ   DNA      2,147     250,365       32    116.6      151   32  151  151        0  151   93.37   90.33
data/raw/fastq/SRR15862476_2.fastq.gz  FASTQ   DNA      2,147     247,975       32    115.5      151   32  150  150        0  150   92.87   87.81
data/raw/fastq/SRR15862478_1.fastq.gz  FASTQ   DNA     24,424   3,654,396       32    149.6      151  151  151  151        0  151   95.29   93.27
data/raw/fastq/SRR15862478_2.fastq.gz  FASTQ   DNA     24,424   3,632,246       32    148.7      151  150  150  150        0  150   96.09   93.85
data/raw/fastq/SRR15862480_1.fastq.gz  FASTQ   DNA     23,232   3,487,912       32    150.1      151  151  151  151        0  151   96.27   94.68
data/raw/fastq/SRR15862480_2.fastq.gz  FASTQ   DNA     23,232   3,465,819       32    149.2      151  150  150  150        0  150   96.36   94.09
data/raw/fastq/SRR15862482_1.fastq.gz  FASTQ   DNA     16,752   2,518,352       32    150.3      151  151  151  151        0  151   96.05   94.11
data/raw/fastq/SRR15862482_2.fastq.gz  FASTQ   DNA     16,752   2,503,740       32    149.5      151  150  150  150        0  150   89.39   81.96
data/raw/fastq/SRR15862484_1.fastq.gz  FASTQ   DNA     27,547   4,121,605       32    149.6      151  151  151  151        0  151   96.07   92.59
data/raw/fastq/SRR15862484_2.fastq.gz  FASTQ   DNA     27,547   4,025,072       32    146.1      151  147  147  147        0  147   94.86   89.56
data/raw/fastq/SRR15862486_1.fastq.gz  FASTQ   DNA      7,050   1,017,390       32    144.3      151  151  151  151        0  151   93.74   89.38
data/raw/fastq/SRR15862486_2.fastq.gz  FASTQ   DNA      7,050   1,013,176       32    143.7      151  150  150  150        0  150   92.51   85.97
data/raw/fastq/SRR15862488_1.fastq.gz  FASTQ   DNA     11,362   1,586,278       32    139.6      151  151  151  151        0  151   91.69   86.96
data/raw/fastq/SRR15862488_2.fastq.gz  FASTQ   DNA     11,362   1,581,347       32    139.2      151  150  150  150        0  150   90.55   83.13
data/raw/fastq/SRR15862490_1.fastq.gz  FASTQ   DNA     53,211   7,965,744       32    149.7      151  151  151  151        0  151   95.18   90.85
data/raw/fastq/SRR15862490_2.fastq.gz  FASTQ   DNA     53,211   7,918,766       32    148.8      151  150  150  150        0  150   94.55   88.47
data/raw/fastq/SRR15862492_1.fastq.gz  FASTQ   DNA     78,937  11,836,671       32      150      151  151  151  151        0  151   94.52   89.85
data/raw/fastq/SRR15862492_2.fastq.gz  FASTQ   DNA     78,937  11,759,626       32      149      151  150  150  151        0  150   93.48   86.27
data/raw/fastq/SRR15862494_1.fastq.gz  FASTQ   DNA     92,313  13,915,411       32    150.7      151  151  151  151        0  151   94.87   90.34
data/raw/fastq/SRR15862494_2.fastq.gz  FASTQ   DNA     92,313  13,814,050       32    149.6      151  150  150  151        0  150   93.65   86.48
data/raw/fastq/SRR15862496_1.fastq.gz  FASTQ   DNA      2,637     353,978       32    134.2      151  151  151  151        0  151   93.07   87.97
data/raw/fastq/SRR15862496_2.fastq.gz  FASTQ   DNA      2,637     350,941       32    133.1      151  147  147  150        0  150   92.18   85.41
data/raw/fastq/SRR15862498_1.fastq.gz  FASTQ   DNA     30,592   4,616,488       32    150.9      151  151  151  151        0  151   95.76   91.65
data/raw/fastq/SRR15862498_2.fastq.gz  FASTQ   DNA     30,592   4,588,190       32      150      151  150  150  150        0  150   94.65   88.67
data/raw/fastq/SRR15862500_1.fastq.gz  FASTQ   DNA     19,780   2,974,597       32    150.4      151  151  151  151        0  151   93.85   88.71
data/raw/fastq/SRR15862500_2.fastq.gz  FASTQ   DNA     19,780   2,959,655       32    149.6      151  150  150  150        0  150   93.14   86.24
data/raw/fastq/SRR15862502_1.fastq.gz  FASTQ   DNA      4,651     639,953       32    137.6      151  151  151  151        0  151   91.81   87.15
data/raw/fastq/SRR15862502_2.fastq.gz  FASTQ   DNA      4,651     638,449       32    137.3      151  150  150  151        0  150   88.18   77.66
data/raw/fastq/SRR15862504_1.fastq.gz  FASTQ   DNA     10,580   1,563,808       32    147.8      151  151  151  151        0  151   92.39   87.65
data/raw/fastq/SRR15862504_2.fastq.gz  FASTQ   DNA     10,580   1,556,808       32    147.1      151  150  150  150        0  150   91.16    83.6
data/raw/fastq/SRR15862506_1.fastq.gz  FASTQ   DNA      6,865     901,710       32    131.3      151  151  151  151        0  151   92.33   87.87
data/raw/fastq/SRR15862506_2.fastq.gz  FASTQ   DNA      6,865     889,669       32    129.6      151  147  147  148        0  147   91.23   85.05
data/raw/fastq/SRR15862508_1.fastq.gz  FASTQ   DNA     38,173   5,709,883       32    149.6      151  151  151  151        0  151   95.18   90.93
data/raw/fastq/SRR15862508_2.fastq.gz  FASTQ   DNA     38,173   5,579,032       32    146.2      151  147  147  147        0  147   93.69   87.48
data/raw/fastq/SRR15862510_1.fastq.gz  FASTQ   DNA     43,825   6,555,312       32    149.6      151  151  151  151        0  151    95.4   91.15
data/raw/fastq/SRR15862510_2.fastq.gz  FASTQ   DNA     43,825   6,491,687       32    148.1      151  150  150  150        0  150   94.54   88.73
data/raw/fastq/SRR15862512_1.fastq.gz  FASTQ   DNA     62,360   9,357,779       32    150.1      151  151  151  151        0  151   95.54   91.33
data/raw/fastq/SRR15862512_2.fastq.gz  FASTQ   DNA     62,360   9,229,255       32      148      151  147  150  150        0  150   94.31   88.26
